Cli,1,0.5110248447204969
Cli,16,0.7218934911242604
Cli,17,0.5844155844155844
Cli,18,0.5671497584541063
Cli,21,0.5180124223602485
Cli,26,0.4966101694915254
Closure,10,0.9555555555555556
Closure,100,0.6097266492804018
Closure,121,0.6153846153846154
Closure,127,0.5617691154422788
Closure,134,0.6237949111366833
Closure,135,0.8955276381909548
Closure,136,0.5276624109111419
Closure,137,0.5342418492323616
Closure,138,0.5036513138979932
Closure,139,0.5400895400895401
Closure,140,0.6267139398529024
Closure,141,0.7851740949748551
Closure,142,0.5227623348573672
Closure,143,0.7620253164556962
Closure,144,0.7231924220285182
Closure,145,0.6081030619865572
Closure,146,0.6292407513262533
Closure,147,0.4967741935483871
Closure,148,0.498886827458256
Closure,149,0.7215496368038741
Closure,150,0.8757584721610955
Closure,152,0.5067307692307692
Closure,153,0.6985871271585558
Closure,154,0.4989010989010989
Closure,156,0.5306850012732366
Closure,157,0.46484923585295335
Closure,158,0.5821849782743638
Closure,159,0.5879120879120879
Closure,160,0.6666952544311034
Closure,161,0.8508687258687259
Closure,162,0.5503875968992248
Closure,163,0.5287128712871287
Closure,164,0.652182599140945
Closure,165,0.5035118525021949
Closure,166,0.5592497868712702
Closure,167,0.7400157232704403
Closure,168,0.7608166719559928
Closure,169,0.629181037940162
Closure,170,0.4965626652564781
Closure,171,0.49269433080070135
Closure,176,0.7275933000293858
Closure,21,0.4939759036144578
Closure,22,0.4998530708198648
Closure,29,0.787147634973722
Closure,32,0.5528455284552846
Closure,34,0.9512345679012346
Closure,35,0.6579032781564427
Closure,43,0.6446846846846847
Closure,48,0.8100407055630936
Closure,49,0.6393340152290033
Closure,53,0.6955602536997886
Closure,54,0.5024398745207389
Closure,6,0.7423076923076923
Closure,60,0.6324056213833011
Closure,72,0.6446324695928081
Closure,76,0.5081967213114754
Closure,81,0.7547835694787469
Closure,95,0.4952978056426332
Closure,98,0.5033663366336634
Codec,11,0.5088967971530249
Codec,13,0.6219512195121951
Codec,14,0.5097389793374382
Codec,6,0.5300699300699301
Codec,8,0.4962962962962963
Compress,1,0.6777777777777778
Compress,2,0.4927536231884058
Compress,20,0.5037593984962406
Compress,29,0.5726305192003451
Compress,43,0.928532667679618
Compress,8,0.5809903863595138
Csv,10,0.5276653171390013
Csv,16,0.5074720357941834
Csv,3,0.5694805194805195
Gson,10,0.8824566558918602
Gson,2,0.7539982030548068
Gson,3,0.7638031693077565
JacksonCore,1,0.5657894736842105
JacksonCore,10,0.7765765765765765
JacksonCore,13,0.505119825708061
JacksonCore,16,0.5181818181818182
JacksonCore,17,0.6496848511193218
JacksonCore,18,0.5683195592286502
JacksonCore,2,0.5674626865671641
JacksonCore,20,0.49476584022038567
JacksonCore,21,0.7804878048780488
JacksonCore,24,0.5646214625493832
JacksonCore,7,0.5026867868973132
JacksonDatabind,10,0.8894515822381638
JacksonDatabind,103,0.5312633527987466
JacksonDatabind,106,0.5429599575633324
JacksonDatabind,108,0.696528555431131
JacksonDatabind,109,0.5942571785268415
JacksonDatabind,11,0.6430083972252647
JacksonDatabind,110,0.673469387755102
JacksonDatabind,15,0.569505531120885
JacksonDatabind,18,0.6067303015564203
JacksonDatabind,22,0.5244075304540421
JacksonDatabind,23,0.6729032258064516
JacksonDatabind,25,0.7509615384615385
JacksonDatabind,26,0.5670349907918969
JacksonDatabind,29,0.798358413132695
JacksonDatabind,30,0.5043750816246572
JacksonDatabind,34,0.6966246909320913
JacksonDatabind,35,0.8835725677830941
JacksonDatabind,36,0.5545023696682464
JacksonDatabind,38,0.7839172711838247
JacksonDatabind,39,0.7470270270270271
JacksonDatabind,4,0.647863506726231
JacksonDatabind,50,0.8107679192078169
JacksonDatabind,52,0.5446613520808486
JacksonDatabind,53,0.5739106453392168
JacksonDatabind,62,0.651009657594381
JacksonDatabind,63,0.7961496662009004
JacksonDatabind,68,0.5138557095078834
JacksonDatabind,76,0.8696592862197958
JacksonDatabind,78,0.5998566650740563
JacksonDatabind,82,0.9783420463032113
JacksonDatabind,9,0.47619047619047616
JacksonXml,1,0.5775368864799759
Jsoup,28,0.5624938441839851
Jsoup,3,0.5598455598455598
Jsoup,30,0.5300699300699301
Jsoup,36,0.7210144927536232
Jsoup,41,0.49856267966504186
Jsoup,48,0.5010351966873706
Jsoup,58,0.5109498031496063
Jsoup,59,0.7292682926829268
Jsoup,6,0.9970775721930994
Jsoup,65,0.8763197586726998
Jsoup,67,0.8659154009472481
Jsoup,81,0.5882716049382716
Jsoup,87,0.7070063694267515
Jsoup,92,0.5400550485296248
JxPath,13,0.5166047506473038
JxPath,7,0.4977899293688767
JxPath,9,0.5092656142759094
Lang,14,0.9338740962793158
Lang,30,0.8948064977479881
Lang,31,0.548488241881299
Lang,5,0.5202492211838006
Math,23,0.5160493827160494
Math,24,0.49344188150158297
Math,28,0.5135688684075781
Math,31,0.5608948545861298
Math,38,0.6567505720823799
Math,48,0.5698924731182796
Math,52,0.6695402298850575
Math,58,0.5320207084912967
Math,61,0.5966946554711449
Math,63,0.6736465781409602
Math,64,0.5924657534246576
Math,66,0.5434782608695652
Math,67,1.0
Math,68,0.6191019786910198
Math,71,0.9041484548730926
Math,76,0.6953464013167739
Math,77,0.5012870012870013
Math,83,0.8320987654320988
Math,88,0.6615468409586057
Math,92,0.6713995943204868
Math,97,0.5864661654135338
Mockito,10,0.7098245614035088
Mockito,14,0.4945226917057903
Mockito,15,0.5655254717684791
Mockito,17,0.5433208489388265
Mockito,19,0.5399484536082474
Mockito,20,0.5354037267080746
Mockito,23,0.6617079889807163
Mockito,25,0.5362546977270327
Mockito,26,0.5054545454545455
Mockito,28,0.6035223367697594
Mockito,3,0.49473684210526314
Mockito,30,0.9797979797979798
Mockito,37,0.7906281156530409
Time,12,0.713874614594039
Time,15,0.7960569550930997
Time,16,0.9469187675070028
Time,22,1.0
Time,23,1.0
Time,24,1.0
Time,25,1.0
Time,26,1.0
Time,27,1.0
Time,3,0.8429991563038773
Time,8,0.7589285714285714
